19,2,2,1,12,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,15,8,3,4,16,0,1,34,5,3,15,6,6,3,1,1,1.6,1.4,0,0,21,19,14,21,3.1,4,0,4,5,0,0,2.125,2.3333,1.3333,2.25,3.3333,2.5,3.3333,2.3,2.8571,41,20,11,14,7,6,4,21,8,12,11,11,16,6,6,7,5,13,7,24,23,1.5938,25,10,8,6,11,10,13,11,13,12,14,11,0,2,4,3,0,0,1,0.19036
18,2,2,1,12,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,180,0,1,6,9,2,3,13,0,0,13,4,5,5,7,5,3,1.4,1,4.6,1.8,1,4,15,16,13,23,4.6,5.125,0,5,7,1,1,2.25,3.3333,2,3,3,2.75,2.3333,2.8,3.5714,48,25,15,9,7,10,5,25,11,7,8,9,9,5,12,14,14,18,9,31,12,1.2125,0,11,8,5,7,5,12,13,11,15,16,0,0,0,11,3,2,1,6,-0.20111
16,2,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,1,9,4,4,6,13,0,10,32,0,0,1,0,3,2.4,1.8,1,2.4,1.6,1,2,18,11,12,23,4.7,5.125,3,8,1,0,0,2.375,3.3333,1.6667,2,2.3333,1.5,1.6667,2.2,2.7143,33,13,9,7,6,8,9,19,5,6,6,9,11,5,4,9,5,5,7,39,16,5.1875,0,11,5,5,14,6,11,10,13,8,14,4,1,0,2,2,2,1,5,-1.0718
18,2,2,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,137,0,1,3,7,1,2,7,0,0,0,0,0,0,0,3,1.2,1,1,3.6,1,0,0,19,12,10,22,5.4,4.25,2,5,1,0,1,2.25,1.6667,1.6667,3,4,4,1.6667,2.7,2.8571,38,12,14,18,6,6,4,29,7,5,5,8,11,5,4,9,3,5,14,40,15,1.825,1,5,7,5,6,5,16,12,12,7,16,8,0,0,7,1,1,1,1,-1.0819
18,1,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,1,1,0,0,1,3,0,0,3,0,0,3,0,0,3.8,1.4,1,1.6,1.2,0,0,10,13,9,11,4.5,5.25,1,1,0,0,0,1.5,2,1.3333,3.75,3.3333,4,1.6667,1.3,1.4286,32,14,8,7,6,3,8,23,5,5,8,8,6,5,4,4,3,7,7,20,21,2.6,9,7,5,5,9,8,13,11,11,8,14,4,0,0,1,7,3,2,1,-1.6691
18,2,2,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,170,0,1,1,4,0,4,12,0,1,5,0,2,0,3,0,2.6,2,1.625,2.4,1,0,0,21,13,12,11,5.7,6,0,3,0,0,0,1.5,2.3333,1.3333,3,3,3,1.6667,2.1,2.5714,36,17,13,10,6,6,6,23,6,11,9,9,6,5,7,12,4,6,7,30,14,2.2313,6,6,5,5,5,6,14,12,12,6,14,8,0,0,6,0,3,3,2,-0.98405
19,2,2,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,148,0,1,16,4,4,1,3,0,0,0,3,4,6,4,0,3.4,2.6,3,3.4,1.8,0,0,12,10,16,18,5.5,5.875,0,1,0,0,0,1.75,1.3333,1,3.75,4,4,1.6667,2.2,2.7143,36,18,10,11,6,3,11,33,6,21,8,12,9,5,8,9,5,12,12,21,6,0.85,6,5,6,5,5,5,8,12,11,12,10,1,0,0,9,1,2,1,5,-0.78832
19,1,2,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,150,0,2,19,9,2,17,18,0,0,9,11,0,13,5,2,4,3.4,2,4,1,0,0,21,16,21,25,4.5,4.75,3,4,1,0,0,1.5,1.6667,1.3333,2.75,1.6667,3,1.6667,1.6,1.8571,63,38,21,8,6,6,6,17,7,11,5,10,16,5,7,5,9,5,8,25,12,0.13125,24,9,7,5,12,9,9,10,10,9,10,15,0,3,10,3,2,5,5,-0.88618
19,1,1,1,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,175,0,1,18,12,6,7,26,0,0,14,16,6,14,4,8,3,4.6,3.75,3.2,1,0,0,12,19,27,37,3.6,4.75,7,9,7,6,3,3.5,3.6667,2,2,1,1.5,2.6667,3.3,3.7143,52,30,19,9,6,3,6,21,9,13,8,11,15,5,17,14,9,10,14,28,6,1.0187,26,21,9,24,19,14,6,12,11,4,6,3,0,0,10,1,3,9,10,0.67969
18,2,2,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,168,0,1,5,1,0,1,3,0,0,0,0,0,0,1,0,1.8,1.4,1,1.8,1,0,0,12,11,10,14,4.6,4.875,0,2,0,0,0,2.375,1.6667,1,3.5,3.6667,3.75,2.3333,2.1,2.5714,30,11,9,10,6,5,4,26,5,5,6,8,7,5,4,4,4,8,7,31,12,0.40625,0,5,5,5,5,5,15,11,12,9,14,0,0,0,4,1,0,0,0,-1.0819
